     Scat angle      F11             F12            F22           F33             F43            F44
   0.164000E+01   0.167499E+01  -0.680126E-03   0.167220E+01   0.167220E+01   0.352899E-07   0.166942E+01
   0.165000E+01   0.167498E+01  -0.688295E-03   0.167219E+01   0.167219E+01   0.357138E-07   0.166941E+01
   0.166000E+01   0.167497E+01  -0.696464E-03   0.167218E+01   0.167218E+01   0.361377E-07   0.166940E+01
   0.167000E+01   0.167496E+01  -0.704633E-03   0.167217E+01   0.167217E+01   0.365616E-07   0.166939E+01
   0.168000E+01   0.167495E+01  -0.712802E-03   0.167216E+01   0.167216E+01   0.369855E-07   0.166939E+01
   0.169000E+01   0.167494E+01  -0.720970E-03   0.167215E+01   0.167215E+01   0.374094E-07   0.166938E+01
   0.170000E+01   0.167493E+01  -0.729139E-03   0.167215E+01   0.167215E+01   0.378332E-07   0.166937E+01
   0.171000E+01   0.167492E+01  -0.737307E-03   0.167214E+01   0.167214E+01   0.382571E-07   0.166936E+01
   0.172000E+01   0.167491E+01  -0.745475E-03   0.167213E+01   0.167213E+01   0.386810E-07   0.166935E+01
   0.173000E+01   0.167490E+01  -0.753643E-03   0.167212E+01   0.167212E+01   0.391048E-07   0.166934E+01
   0.174000E+01   0.167490E+01  -0.761811E-03   0.167211E+01   0.167211E+01   0.395287E-07   0.166933E+01
   0.175000E+01   0.167489E+01  -0.769979E-03   0.167210E+01   0.167210E+01   0.399525E-07   0.166932E+01
   0.176000E+01   0.167488E+01  -0.779405E-03   0.167209E+01   0.167209E+01   0.404417E-07   0.166931E+01
   0.177000E+01   0.167487E+01  -0.788830E-03   0.167208E+01   0.167208E+01   0.409308E-07   0.166930E+01
   0.178000E+01   0.167485E+01  -0.798255E-03   0.167207E+01   0.167207E+01   0.414199E-07   0.166929E+01
   0.179000E+01   0.167484E+01  -0.807680E-03   0.167206E+01   0.167206E+01   0.419090E-07   0.166928E+01
   0.180000E+01   0.167483E+01  -0.817105E-03   0.167205E+01   0.167205E+01   0.423981E-07   0.166927E+01
   0.181000E+01   0.167482E+01  -0.826530E-03   0.167204E+01   0.167204E+01   0.428872E-07   0.166926E+01
   0.182000E+01   0.167481E+01  -0.835954E-03   0.167203E+01   0.167203E+01   0.433763E-07   0.166925E+01
   0.183000E+01   0.167480E+01  -0.845379E-03   0.167202E+01   0.167202E+01   0.438654E-07   0.166924E+01
   0.184000E+01   0.167479E+01  -0.854803E-03   0.167200E+01   0.167200E+01   0.443544E-07   0.166923E+01
   0.185000E+01   0.167478E+01  -0.864227E-03   0.167199E+01   0.167199E+01   0.448435E-07   0.166922E+01
   0.186000E+01   0.167477E+01  -0.873651E-03   0.167198E+01   0.167198E+01   0.453326E-07   0.166921E+01
   0.187000E+01   0.167476E+01  -0.883076E-03   0.167197E+01   0.167197E+01   0.458216E-07   0.166920E+01
   0.188000E+01   0.167475E+01  -0.892499E-03   0.167196E+01   0.167196E+01   0.463107E-07   0.166919E+01
